Course-Sec,Day,Time,Location
CHEM101-01,W,0800-0850,63-325
CHEM101-01,UTR,0800-0850,63-362
CHEM101-02,W,0900-0950,63-325
CHEM101-02,UTR,0800-0850,63-362
CHEM101-03,W,1000-1050,63-121
CHEM101-03,UTR,0800-0850,63-362
CHEM101-04,W,0800-0850,63-221
CHEM101-04,UTR,0900-0950,63-362
CHEM101-05,W,0900-0950,63-227
CHEM101-05,UTR,0900-0950,63-362
CHEM101-06,W,1000-1050,63-223
CHEM101-06,UTR,0900-0950,63-362
CHEM101-07,M,0800-0850,63-325
CHEM101-07,UTR,1000-1050,63-362
CHEM101-08,M,0900-0950,63-229
CHEM101-08,UTR,1000-1050,63-362
CHEM101-09,M,1000-1050,63-229
CHEM101-09,UTR,1000-1050,63-362
CHEM101-10,W,0900-0950,63-225
CHEM101-10,UTR,1100-1150,63-362
CHEM101-11,W,1000-1050,63-226
CHEM101-11,UTR,1100-1150,63-362
CHEM101-12,W,1100-1150,63-223
CHEM101-12,UTR,1100-1150,63-362
CHEM101-13,W,1200-1250,63-024
CHEM101-13,UTR,1200-1250,63-362
CHEM101-14,W,1300-1350,63-022
CHEM101-14,UTR,1200-1250,63-362
CHEM101-15,W,1400-1450,63-024
CHEM101-15,UTR,1200-1250,63-362
CHEM101-16,W,1200-1250,63-026
CHEM101-16,UTR,1300-1350,63-331
CHEM101-17,W,1300-1350,63-024
CHEM101-17,UTR,1300-1350,63-331
CHEM101-18,W,1400-1450,63-026
CHEM101-18,UTR,1300-1350,63-331
CHEM101-51,U,0800-1050,75-302
CHEM101-52,M,1100-1350,75-None
CHEM101-54,M,0800-1050,75-302
CHEM101-55,M,0800-1050,75-304
CHEM101-56,M,0800-1050,75-306
CHEM101-57,M,0800-1050,75-308
CHEM101-58,M,0800-1050,75-310
CHEM101-59,M,1100-1350,75-304
CHEM101-60,M,1100-1350,75-306
CHEM101-61,M,1100-1350,75-308
CHEM101-62,M,1100-1350,None
CHEM101-63,M,1100-1350,75-312
CHEM101-64,T,1400-1650,75-310
CHEM101-65,T,1400-1650,75-312
CHEM101-66,T,1400-1650,75-306
CHEM101-67,T,1400-1650,75-308
CHEM101-68,T,0800-1050,75-302
CHEM101-69,T,1100-1350,75-304
CHEM101-70,T,1400-1650,75-302
CHEM101-71,T,1400-1650,75-304
CHEM101-72,T,1400-1650,75-309
CHEM101-73,W,0800-1050,75-302
CHEM101-74,W,0800-1050,75-304
CHEM101-75,W,1100-1350,75-302
CHEM101-76,W,1100-1350,75-304
CHEM101-77,W,1100-1350,75-306
CHEM101-78,W,1100-1350,75-308
CHEM101-79,W,1400-1650,75-302
CHEM101-80,W,1400-1650,75-304
CHEM101-81,W,1400-1650,75-306
CHEM101-82,W,1400-1650,75-308
CHEM101-83,W,1400-1650,75-310
CHEM101-84,W,1400-1650,75-312
CHEM101-85,W,1400-1650,75-309
CHEM101-86,R,0800-1050,75-302
CHEM101-87,R,1300-1550,75-304
CHEM101-F22,M,0800-0850,7-113
CHEM101-F22,UTR,1000-1050,14-108
CHEM101-F23,M,0900-0950,7-113
CHEM101-F23,UTR,1000-1050,14-108
CHEM101-F24,M,1000-1050,7-102
CHEM101-F24,UTR,1000-1050,14-108
CHEM101-F25,W,0800-0850,7-113
CHEM101-F25,UTR,0900-0950,14-108
CHEM101-F26,W,0900-0950,7-113
CHEM101-F26,UTR,0900-0950,14-108
CHEM101-F27,W,1000-1050,7-102
CHEM101-F27,UTR,0900-0950,14-108
CHEM101-F51,U,1400-1650,75-304
CHEM101-F52,U,1400-1650,75-306
CHEM101-F53,U,1400-1650,75-308
CHEM101-F54,U,1400-1650,75-310
CHEM101-F55,U,1400-1650,75-312
CHEM101-F56,M,1400-1650,75-306
CHEM101-F57,M,1400-1650,75-308
CHEM101-F58,M,1400-1650,75-310
CHEM101-F59,M,1400-1650,75-312
CHEM101-F60,M,1400-1650,75-312
COE 233-02,UTR,0900-0950,59-2009
COE 233-03,UT,1230-1345,24-146
COE 233-04,MW,1230-1345,22-130
COE 292-01,UTR,0800-0850,24-135
COE 292-02,UTR,0800-0850,22-132
COE 292-03,UTR,0900-0950,24-135
COE 292-04,UTR,0900-0950,76-1124
COE 292-05,UTR,1000-1050,23-011
COE 292-06,UTR,1000-1050,24-178
COE 292-07,UTR,1100-1150,59-1014
COE 292-08,UTR,1100-1150,76-1126
COE 292-09,UTR,1200-1250,24-178
COE 292-10,UTR,1300-1350,59-1005
COE 292-11,UTR,1000-1050,24-116
COE 292-12,MW,0930-1045,59-2022
COE 292-13,MW,0800-0915,24-178
COE 292-14,MW,0830-0945,59-2004
COE 292-15,MW,1000-1115,24-236A
COE 292-16,UTR,1100-1150,22-132
COE 292-17,UTR,1000-1050,24-249
COE 292-18,UTR,1200-1250,24-141
COE 292-19,MW,0930-1045,59-2011
COE 292-20,UTR,0800-0850,24-156
CGS 392-01,U,1400-1550,59-2027
CGS 392-02,U,0800-0950,59-2027
CGS 392-03,T,1400-1550,59-2027
CGS 392-04,W,0800-0950,59-2027
CGS 392-05,M,0800-0950,59-2027
CGS 392-06,U,1000-1150,59-2027
CGS 392-07,R,1400-1550,59-2027
CGS 392-08,R,0800-0950,59-2027
CGS 392-09,M,1000-1150,59-2027
CGS 392-10,M,1200-1350,59-2027
CGS 392-11,W,1000-1150,59-2027
CGS 392-12,U,0800-0950,59-2029
CGS 392-13,R,1000-1150,59-2029
CGS 392-14,U,1200-1350,59-2029
CGS 392-15,U,1200-1350,59-2027
CGS 392-16,T,1200-1350,59-2029
CGS 392-17,T,1000-1150,59-2029
CGS 392-18,T,1200-1350,59-2027
CGS 392-19,R,1200-1350,59-2029
CGS 392-20,R,1200-1350,59-2027
CGS 392-21,M,0800-0950,59-2029
CGS 392-22,U,1400-1550,59-2029
