Course,Credit Hours,Prerequisite,Corequisite
MATH101,4,None,None
ENGL101,3,None,None
PE  101,1,None,None
ICS 104,3,None,None
PHYS101,4,None,None
IAS 121,2,None,None
MATH102,4,MATH101,None
ENGL102,3,ENGL101,None
ICS 108,4,ICS 104,None
PHYS102,4,PHYS101,None
IAS 111,2,None,None
MATH201,3,MATH102;MATH101,None
ISE 291,3,MATH102;ICS 104,None
SWE 206,3,ICS 108;ICS 104,None
ICS 202,4,ICS 108;ICS 104,None
CHEM101,4,None,None
MATH208,3,MATH102;MATH101,None
COE 292,3,ISE 291;ICS 104,None
SWE 216,3,SWE 206;ICS 108;ICS 104,None
ICS 253,3,ICS 104,None
COE 233,3,ICS 104,None
IAS 212,2,None,None
STAT319,3,MATH102;MATH101,None
SWE 316,3,SWE 206;ICS 108;ICS 104,None
ICS 321,3,ICS 202;ICS 108;ICS 104,None
ICS 343,4,ICS 108;ICS 104,None
SWE 387,3,None,None
SWE 363,3,None,None
ENGL214,3,ENGL102;ENGL101,None
SWE 326,3,SWE 216;SWE 206;ICS 108;ICS 104,None
ICS 344,3,ICS 343;ICS 108;ICS 104,None
CGS 392,1,None,None
BUS 200,3,None,None
SWE 399,0,SWE 363;ENGL214,None
SWE 439,3,SWE 316;SWE 206;ICS 108;ICS 104;STAT319;MATH102;MATH101,None
SWE 411,3,SWE 387;SWE 316;SWE 206;ICS 108;ICS 104,None
SWE 412,2,SWE 411;SWE 387;SWE 326;SWE 316;SWE 206;ICS 108;ICS 104,None
ICS 433,3,COE 233;ICS 104,None
