Course-Sec,Location,Day,Time
MATH101-01,5-101,M,0800-0850
MATH101-01,63-331,UTR,0800-0850
MATH101-02,5-101,M,0900-0950
MATH101-02,63-331,UTR,0800-0850
MATH101-03,5-101,M,1000-1050
MATH101-03,63-331,UTR,0800-0850
MATH101-04,22-231,W,1100-1150
MATH101-04,24-121,UTR,1200-1250
MATH101-05,22-231,W,1200-1250
MATH101-05,24-121,UTR,1200-1250
MATH101-F31,7-225,M,0800-0850
MATH101-F31,7-121,UTR,1000-1050
MATH101-F32,7-225,M,0900-0950
MATH101-F32,7-121,UTR,1000-1050
MATH102-01,22-231,M,0800-0850
MATH102-01,24-121,UTR,0800-0850
MATH102-02,22-231,M,0900-0950
MATH102-02,24-121,UTR,0800-0850
MATH102-03,22-231,M,1000-1050
MATH102-03,24-121,UTR,0800-0850
MATH102-04,5-101,W,0800-0850
MATH102-04,24-121,UTR,0900-0950
MATH102-05,5-101,W,0900-0950
MATH102-05,24-121,UTR,0900-0950
MATH102-06,5-101,W,1000-1050
MATH102-06,24-121,UTR,0900-0950
MATH102-07,5-101,W,1100-1150
MATH102-07,59-1001,UTR,1000-1050
MATH102-08,5-101,W,1200-1250
MATH102-08,59-1001,UTR,1000-1050
MATH102-09,5-101,W,1300-1350
MATH102-09,59-1001,UTR,1000-1050
MATH102-10,5-101,M,1100-1150
MATH102-10,24-121,UTR,1100-1150
MATH102-11,5-101,M,1200-1250
MATH102-11,24-121,UTR,1100-1150
MATH102-12,5-101,M,1300-1350
MATH102-12,24-121,UTR,1100-1150
MATH102-13,5-202,M,0800-0850
MATH102-13,59-1001,UTR,0700-0750
MATH102-14,5-202,M,0900-0950
MATH102-14,59-1001,UTR,0700-0750
MATH102-15,5-202,M,1000-1050
MATH102-15,59-1001,UTR,0700-0750
MATH102-16,5-202,W,0800-0850
MATH102-16,63-331,UTR,0900-0950
MATH102-17,5-202,W,0900-0950
MATH102-17,63-331,UTR,0900-0950
MATH102-18,5-202,W,1000-1050
MATH102-18,63-331,UTR,0900-0950
MATH102-19,5-202,W,1100-1150
MATH102-19,59-1001,UTR,1300-1350
MATH102-20,5-202,W,1200-1250
MATH102-20,59-1001,UTR,1300-1350
MATH102-21,5-202,W,1300-1350
MATH102-21,59-1001,UTR,1300-1350
MATH102-22,5-202,M,1100-1150
MATH102-22,24-120,UTR,1200-1250
MATH102-23,5-202,M,1200-1250
MATH102-23,24-120,UTR,1200-1250
MATH102-24,5-202,M,1300-1350
MATH102-24,24-120,UTR,1200-1250
MATH102-F31,7-220,W,0800-0850
MATH102-F31,14-108,UTR,0800-0850
MATH102-F32,7-220,W,0900-0950
MATH102-F32,14-108,UTR,0800-0850
MATH102-F33,7-220,W,1000-1050
MATH102-F33,14-108,UTR,0800-0850
MATH102-F34,7-220,M,0800-0850
MATH102-F34,14-108,UTR,1400-1450
MATH102-F35,7-220,M,0900-0950
MATH102-F35,14-108,UTR,1400-1450
MATH102-F36,7-220,M,1000-1050
MATH102-F36,14-108,UTR,1400-1450
MATH102-F37,7-220,W,1200-1250
MATH102-F37,14-108,UTR,0800-0850
MATH102-F38,7-220,M,1100-1150
